gid,pk,pk_vaw,pk_sgi,name_full,name_short
1106,818bab00-4ec8-11e8-a954-985fd331b2ee,NULL,A14n-02,Cavistrau,
1107,818c2030-4ec8-11e8-9a8e-985fd331b2ee,NULL,A14n-06,Durschin W,
1108,bb1dbac6-74a9-11ea-bc55-0242ac130003,NULL,A14n-14,Glatscher da Frisal N,
1109,df0ab6ec-7a05-11ec-90d6-0242ac120003,NULL,A50i-11,Piz Urlaun N,
1110,81f8c4b0-4ec8-11e8-a27f-985fd331b2ee,NULL,E22-14,Vadret Boval Dadains N,
1111,bb1e332a-74a9-11ea-bc55-0242ac130003,NULL,E22-15,Piz Morteratsch,
1112,bb1dc3e0-74a9-11ea-bc55-0242ac130003,NULL,A14n-15,Muttenlücke,
1113,bb1dd36c-74a9-11ea-bc55-0242ac130003,NULL,A14n-18,Piz Gavirolas,
1114,bb1d9f96-74a9-11ea-bc55-0242ac130003,NULL,A14p-06,Lavadignas E,
1115,bb1dc9e4-74a9-11ea-bc55-0242ac130003,NULL,A14p-08,Morchopf,
1116,bb1dae78-74a9-11ea-bc55-0242ac130003,NULL,A15b-03,Tristelhorn,
1117,bb1e2920-74a9-11ea-bc55-0242ac130003,NULL,A50i-20,Gletscherchopf,
1118,bb1e2b5a-74a9-11ea-bc55-0242ac130003,NULL,A50i-24,Speichstock,
1119,bb1da6da-74a9-11ea-bc55-0242ac130003,NULL,A50d-03,Schiben,
1120,81b6b29e-4ec8-11e8-9061-985fd331b2ee,NULL,A50h-03,Vorabsattel W,
1121,81a99340-4ec8-11e8-8802-985fd331b2ee,NULL,A50h-04,Husstockegg,
1122,81a7976e-4ec8-11e8-b544-985fd331b2ee,NULL,A50h-05,Alplifirn,
1123,822af840-4ec8-11e8-9f96-985fd331b2ee,NULL,A50i-03,Chli Ruchi,
1124,df0aa9c2-7a05-11ec-90d6-0242ac120003,NULL,A50h-15,Schiltbäch,
1125,df0aabe8-7a05-11ec-90d6-0242ac120003,NULL,A50h-16,Schiltbäch W,
1126,81aceea1-4ec8-11e8-9170-985fd331b2ee,NULL,A50i-01,Schafalp,
1127,df0a9b62-7a05-11ec-90d6-0242ac120003,NULL,A15b-06,Panärahorn,
1128,df0a9c66-7a05-11ec-90d6-0242ac120003,NULL,A15b-07,Orglensattel,
1129,df0a9d74-7a05-11ec-90d6-0242ac120003,NULL,A15b-08,Panäragrat,
1130,df0a9e78-7a05-11ec-90d6-0242ac120003,NULL,A15b-09,Hustäli,
1131,df0a970c-7a05-11ec-90d6-0242ac120003,NULL,A15b-10,Husegg,
1132,df0a9824-7a05-11ec-90d6-0242ac120003,NULL,A15b-11,Hinder Panärahorn,
1133,df0a9a4a-7a05-11ec-90d6-0242ac120003,NULL,A15b-12,Risegg,
1134,818eb840-4ec8-11e8-9062-985fd331b2ee,NULL,A50i-08,Selbsanft,
1135,df0aa09e-7a05-11ec-90d6-0242ac120003,NULL,A22-03,Chalbersäntis,
1136,8182f86e-4ec8-11e8-84e7-985fd331b2ee,NULL,A50i-15,Hinterer Rötifirn,
1137,bb1db256-74a9-11ea-bc55-0242ac130003,NULL,A14n-04,Glatscher da Frisal S,
1138,df0aa1ca-7a05-11ec-90d6-0242ac120003,NULL,A22-04,Lisengrat,
1139,df0aaf62-7a05-11ec-90d6-0242ac120003,NULL,A50h-02,Glarner Vorab,
1140,803c95c0-4ec8-11e8-8656-985fd331b2ee,NULL,B31-06,Sattelhorn,
1141,e34efd08-7a05-11ec-90d6-0242ac120003,NULL,A55a-25,Gamchigletscher S,
1142,e34efe16-7a05-11ec-90d6-0242ac120003,NULL,A55a-26,Gamchilücke W,
1143,e34f0014-7a05-11ec-90d6-0242ac120003,NULL,A55b-01,Lägigrat,
1144,7fd19ef0-4ec8-11e8-908f-985fd331b2ee,NULL,A55b-03,Blüemlisalp Rothorn,
1145,e64c0424-7a05-11ec-90d6-0242ac120003,318,E20-06,Vadret d'Albris,albris
1146,81fc9540-4ec8-11e8-b667-985fd331b2ee,NULL,E20-03,Vadret Muragl W,
1147,df0ab14c-7a05-11ec-90d6-0242ac120003,NULL,A50h-06,Gross Kärpf,
1148,df0ab282-7a05-11ec-90d6-0242ac120003,NULL,A50h-07,Hueli,
1149,df0ab390-7a05-11ec-90d6-0242ac120003,NULL,A50h-08,Täligrat,
1150,bb1dc49e-74a9-11ea-bc55-0242ac130003,NULL,A50h-10,Spienggenstöckli,
1151,df0aa5f8-7a05-11ec-90d6-0242ac120003,NULL,A50h-12,Ober Saumen,
1152,df0aad00-7a05-11ec-90d6-0242ac120003,NULL,A50h-17,Chli Kärpf,
1153,06d5fc9e-7423-11ea-bc55-0242ac130003,NULL,A50i-23,Spitzalpfirn,
1154,81828340-4ec8-11e8-8a1e-985fd331b2ee,NULL,A50i-27,Hinterer Rötifirn S,
1155,82126730-4ec8-11e8-83fe-985fd331b2ee,NULL,A10g-14,Zadrellgletscher,
1156,81f23500-4ec8-11e8-be2b-985fd331b2ee,NULL,A12e-06,Piz Pischa,
1157,81c90221-4ec8-11e8-9522-985fd331b2ee,NULL,A13c-01,Usser Wissberg,
1158,81c50a80-4ec8-11e8-8739-985fd331b2ee,NULL,A13h-01,Piz della Palù,
1159,81745270-4ec8-11e8-a51b-985fd331b2ee,NULL,A14g-05,Piz Cristallina,
1160,8171ba61-4ec8-11e8-8787-985fd331b2ee,NULL,A14g-07,Glatscher dallas Tuors,
1161,df0aae36-7a05-11ec-90d6-0242ac120003,NULL,A50h-18,Kärpfscharten,
1162,df0abe94-7a05-11ec-90d6-0242ac120003,NULL,A50i-26,Schlössliturm,
1163,819cc200-4ec8-11e8-bffc-985fd331b2ee,NULL,A50i-28,Latten,
1164,df0ac0e2-7a05-11ec-90d6-0242ac120003,NULL,A50i-29,Furkel N,
1165,df0ac308-7a05-11ec-90d6-0242ac120003,NULL,A50i-30,Ruchi,
1166,df0ac416-7a05-11ec-90d6-0242ac120003,NULL,A50i-31,Chistenband,
